127.0.0.1 - - [26/Oct/2018:16:48:35 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Top.files/menu_seprator.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Top.files/nav_pre.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/images/bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Top.files/Clock.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/images/bg_left_tc.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/images/bg_left_ls.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Left.files/bg_left_tr.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Left.files/bg_left_tl.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/images/bg_nav.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/Top.files/nav_resetPassword.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /cgb1808/images/bg_banner_menu.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:56 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:59 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 7236
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:59 +0800] "GET /cgb1808/js/jquery-1.4.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:59 +0800] "GET /cgb1808/EmployeeMgr.files/bg_users.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:48:59 +0800] "GET /cgb1808/images/bg_rectbtn.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:49:04 +0800] "GET /cgb1808/StudentDeleteServlet?id=3 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:49:07 +0800] "GET /cgb1808StudentListServlet HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:49:16 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6284
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:51:35 +0800] "GET /cgb1808/StudentDeleteServlet?id=2 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:51:50 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:01 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:01 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:12 +0800] "POST /cgb1808/StudentAddServlet HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:15 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:21 +0800] "GET /cgb1808/StudentInfoServlet?id=5 HTTP/1.1" 200 2374
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:22 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:24 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:32 +0800] "GET /cgb1808/StudentDeleteServlet?id=4 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:53:35 +0800] "GET /cgb1808StudentListServlet HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:17 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:18 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:18 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:29 +0800] "POST /cgb1808/StudentAddServlet HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:32 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:38 +0800] "GET /cgb1808/StudentDeleteServlet?id=6 HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:54:41 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:55:59 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:56:01 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:56:02 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:13 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:14 +0800] "GET /cgb1808/StudentListServlet HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/index.jsp HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/Top.jsp HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/Left.jsp HTTP/1.1" 200 1161
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:16 +0800] "GET /cgb1808/right.jsp HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:57 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:57 +0800] "GET /js/jquery-1.4.2.js HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [26/Oct/2018:16:57:58 +0800] "GET /cgb1808/stu_add.jsp HTTP/1.1" 200 2189
