2018-12-21 09:43:29,378 [Worker-40] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.tedu.pd:pdServer:0.0.1-SNAPSHOT @ D:\android1808\pdServer\pom.xml.
2018-12-21 09:43:41,607 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/apache/thrift/libthrift/0.11.0/libthrift-0.11.0.pom
2018-12-21 09:43:44,389 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-21 09:43:46,616 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/apache/thrift/libthrift/0.11.0/libthrift-0.11.0.jar
2018-12-21 09:43:46,670 [Worker-40] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/apache/thrift/libthrift/0.11.0/libthrift-0.11.0.jar
2018-12-21 09:43:48,559 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-21 09:43:53,159 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.wltea.analyzer:ik-analyzer:jar:5.3.0 is missing, no dependency information available
2018-12-21 09:43:53,656 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://maven.tedu.cn/nexus/content/groups/public/org/apache/thrift/libthrift/0.11.0/libthrift-0.11.0-sources.jar
2018-12-21 09:43:53,681 [Worker-41] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://maven.tedu.cn/nexus/content/groups/public/org/apache/thrift/libthrift/0.11.0/libthrift-0.11.0-sources.jar
2018-12-21 09:43:53,831 [Worker-41] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.apache.thrift:libthrift:0.11.0
2018-12-21 09:43:56,516 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 09:43:56,533 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-12-21 09:43:56,547 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 09:43:56,548 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-21 09:47:56,932 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 09:47:56,936 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-12-21 09:47:56,939 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 09:47:56,939 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-21 10:26:38,542 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 10:26:38,546 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-12-21 10:26:38,552 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 10:26:38,552 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-21 11:08:25,455 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @9430228ms
2018-12-21 11:08:25,691 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2018-12-21 11:08:25,771 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@55462f{/help,null,AVAILABLE}
2018-12-21 11:08:25,786 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@175bf19{HTTP/1.1}{127.0.0.1:55815}
2018-12-21 11:08:25,786 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @9430560ms
2018-12-21 11:14:39,593 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 11:14:39,594 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-21 11:14:39,596 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 11:14:39,597 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-21 11:21:28,934 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 11:21:28,936 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-21 11:21:28,941 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 11:21:28,941 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\android1808\pdServer\src\test\resources
2018-12-21 11:57:37,843 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-21 11:57:37,844 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-12-21 11:57:37,846 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
